Station,Season,Layer,Ensemble Mean,CFSR,ERA-Interim,ERA5,ERA5-Land,JRA55,MERRA2,GLDAS-Noah,GLDAS-CLSM
-5.6849462365591386,Cold_Top,0cm - 30cm,-13.65643310546875,-14.5244140625,-18.899978637695312,-7.081695556640625,-8.689361572265625,-21.2744140625,-12.137939453125,-10.5328369140625,-16.110809326171875
-5.718763440860215,Cold_Top,0cm - 30cm,-13.79193115234375,-14.11810302734375,-19.24371337890625,-6.557220458984375,-7.563720703125,-20.681640625,-14.351776123046875,-11.389007568359375,-16.430328369140625
-6.6607738095238105,Cold_Top,0cm - 30cm,-15.819976806640625,-14.935546875,-25.047607421875,-7.76153564453125,-7.995697021484375,-21.56967163085937,-16.73590087890625,-13.7427978515625,-18.77117919921875
-7.227526881720428,Cold_Top,0cm - 30cm,-14.840179443359375,-14.213836669921875,-24.03582763671875,-8.685394287109375,-8.45947265625,-15.89422607421875,-15.889495849609375,-13.72406005859375,-17.819122314453125
-7.310000000000001,Cold_Top,0cm - 30cm,-14.535369873046875,-13.374298095703125,-23.357208251953125,-9.58563232421875,-9.109588623046877,-13.08404541015625,-15.238128662109375,-14.762939453125,-17.771209716796875
-0.2010960061443931,Cold_Top,0cm - 30cm,-3.670654296875,-3.10723876953125,-2.90057373046875,-1.136962890625,-1.6456298828125,-8.421600341796875,-1.155853271484375,-5.04315185546875,-5.95416259765625
-0.5548095238095238,Cold_Top,0cm - 30cm,-6.5006103515625,-7.3468017578125,-6.194000244140625,-1.244873046875,-3.371826171875,-12.16961669921875,-3.943084716796875,-8.6336669921875,-9.101043701171877
-1.0829493087557602,Cold_Top,0cm - 30cm,-9.051544189453123,-10.405242919921877,-12.289825439453125,-1.39837646484375,-4.636810302734375,-15.91900634765625,-7.510955810546875,-9.072601318359377,-11.179473876953123
-4.394562211981567,Cold_Top,0cm - 30cm,-12.56719970703125,-13.80621337890625,-18.73228454589844,-4.055084228515625,-6.77142333984375,-18.367904663085934,-12.356842041015625,-11.507568359375,-14.940216064453125
-5.386989795918368,Cold_Top,0cm - 30cm,-12.704498291015625,-13.270294189453125,-18.65644836425781,-5.40087890625,-6.4769287109375,-17.6868896484375,-13.502655029296875,-12.051666259765625,-14.5902099609375
-5.40599078341014,Cold_Top,0cm - 30cm,-13.390869140625,-12.818115234375,-20.801910400390625,-6.67095947265625,-6.216705322265625,-18.329757690429688,-13.797821044921875,-13.125213623046875,-15.366363525390625
-5.682904761904763,Cold_Top,0cm - 30cm,-11.568878173828125,-11.36260986328125,-20.365890502929688,-6.9033203125,-6.21868896484375,-9.34716796875,-12.537200927734375,-12.490997314453125,-13.325042724609375
-2.439539170506913,Cold_Top,0cm - 30cm,-6.036651611328125,-7.058807373046875,-9.54327392578125,-3.039825439453125,-4.446807861328125,-3.27569580078125,-6.48272705078125,-9.18048095703125,-5.2655029296875
